,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,25,PTP,ABA,,14,,1,,,,18,21,,,,,,,,,45
1968-69,26,MNP,ABA,,20,,1,,,,19,25,,,,,,,,,57
1969-70,27,PHO,NBA,,16,30,,,,,21,25,,,21,10,,,,6,44
1970-71,28,PHO,NBA,,15,32,,,,,15,17,,,18,11,,,,6,35
1971-72,29,PHO,NBA,,15,31,,,,,15,17,,,19,,,,,,40
1972-73,30,PHO,NBA,,12,24,,,,,11,14,,,18,11,,,,6,31
1973-74,31,TOT,NBA,,10,19,,,,,7,9,,,16,13,,,,6,26
1973-74,31,PHO,NBA,,10,16,,,,,5,8,4,7,11,8,3,,,4,21
1973-74,31,LAL,NBA,,10,19,,,,,7,9,,,16,13,,,,6,26
1974-75,32,LAL,NBA,,10,,,,,,7,8,,,,,,,,,24
1975-76,33,ATL,NBA,,10,,,,,,8,9,,,,,,,,,22
Career,,,TOT,,20,,,,,,21,25,,,,,,,,,57
,,,NBA,,16,,,,,,21,25,,,,,,,,,44
,,,ABA,,20,,1,,,,19,25,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,PHO,NBA,,16,32,,,,,21,25,,,21,,,,,,44
2 Seasons,,"MNP,PTP",ABA,,20,,1,,,,19,25,,,,,,,,,57
2 Seasons,,LAL,NBA,,10,,,,,,7,9,,,,,,,,,26
1 Season,,ATL,NBA,,10,,,,,,8,9,,,,,,,,,22
