Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,BOS,NBA,C,31,163,9,0.401,NA,0.303,NA,NA,NA,5.9,NA,NA,NA,-0.3,0.3,0.1,0.022
1969-70,23,BOS,NBA,C,65,898,10.5,0.485,NA,0.194,NA,NA,NA,4.8,NA,NA,NA,0.3,0.9,1.2,0.062
1970-71,24,TOT,TOT,PF-C,39,555,13,0.519,0,0.276,NA,NA,12.8,4.5,11.2,16.2,NA,0.5,0.4,0.9,0.08
1970-71,24,TOT,ABA,PF-C,38,542,12.8,0.512,0,0.283,NA,NA,12.7,4.6,11.2,16.2,NA,0.4,0.4,0.8,0.073
1970-71,24,BOS,NBA,C,1,13,22.2,0.8,NA,0,NA,NA,16.6,0,NA,NA,NA,0.1,0,0.1,0.406
1970-71,24,FLO,ABA,C,7,117,9,0.579,0,0.25,NA,NA,12.4,5.6,29.5,14,NA,0.2,0.1,0.3,0.104
1970-71,24,CAR,ABA,PF,25,395,13.4,0.5,0,0.272,NA,NA,12.6,3.6,6.6,16.6,NA,0.2,0.3,0.5,0.061
1970-71,24,PTC,ABA,C,6,30,20.5,0.512,0,0.5,NA,NA,15.5,13.1,12,19.4,NA,0,0,0.1,0.099
Career,NA,,TOT,,135,1616,11.2,0.485,0,0.232,NA,NA,12.8,4.8,11.2,16.2,NA,0.5,1.6,2.2,0.064
,NA,,NBA,,97,1074,10.4,0.473,NA,0.21,NA,NA,16.6,4.9,NA,NA,NA,0.1,1.2,1.3,0.06
,NA,,ABA,,38,542,12.8,0.512,0,0.283,NA,NA,12.7,4.6,11.2,16.2,NA,0.4,0.4,0.8,0.073
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BOS,NBA,,97,1074,10.4,0.473,NA,0.21,NA,NA,16.6,4.9,NA,NA,NA,0.1,1.2,1.3,0.06
1 season,NA,CAR,ABA,,25,395,13.4,0.5,0,0.272,NA,NA,12.6,3.6,6.6,16.6,NA,0.2,0.3,0.5,0.061
1 season,NA,FLO,ABA,,7,117,9,0.579,0,0.25,NA,NA,12.4,5.6,29.5,14,NA,0.2,0.1,0.3,0.104
1 season,NA,PTC,ABA,,6,30,20.5,0.512,0,0.5,NA,NA,15.5,13.1,12,19.4,NA,0,0,0.1,0.099
