Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Rich Johnson,,1.2,0.9,0.1,NA,NA,NA
Hank Beenders,93.3,1.1,0.9,-0.1,NA,NA,NA
Gene Tormohlen,81.2,1.4,0.8,0.1,0,0,0
Daniel Santiago,79.7,1.2,0.6,0,0,NA,NA
Žan Tabak,78.8,1.1,0.9,0.2,0.1,0.1,0
Bernard James,77.4,1.2,0.5,0.1,NA,NA,NA
Robert Swift,76.1,1.1,0.7,0,-0.2,NA,NA
Keith Closs,74.8,1.1,0.6,0.2,NA,NA,NA
Earl Williams,74.5,1.3,1,0.4,0,NA,NA
Josh Harrellson,74.4,1.4,0.7,0,NA,NA,NA
Robert Sacre,74.1,1.4,0.8,0.3,-0.1,NA,NA
