Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,BOS,NBA,C,31,NA,163,6.4,16.8,0.382,NA,NA,NA,6.4,16.8,0.382,2.4,5.1,0.478,NA,NA,11.5,1.5,NA,8.8,15.2
1969-70,23,BOS,NBA,C,65,NA,898,6.7,14.5,0.463,NA,NA,NA,6.7,14.5,0.463,1.8,2.8,0.657,NA,NA,8.3,1.3,NA,6.2,15.2
1970-71,24,TOT,TOT,PF-C,39,NA,555,6.2,12.7,0.49,0,0,NA,6.2,12.7,0.49,2.3,3.5,0.667,3,NA,10.2,1.2,1.8,5.6,14.8
1970-71,24,TOT,ABA,PF-C,38,NA,542,6.1,12.7,0.482,0,0,NA,6.1,12.7,0.482,2.4,3.6,0.667,3.1,7,10.1,1.3,1.8,5.5,14.6
1970-71,24,BOS,NBA,C,1,NA,13,11.1,13.8,0.8,NA,NA,NA,11.1,13.8,0.8,0,0,NA,NA,NA,13.8,0,NA,8.3,22.2
1970-71,24,FLO,ABA,C,7,NA,117,4.9,8.6,0.571,0,0,NA,4.9,8.6,0.571,1.2,2.2,0.571,4,5.5,9.5,1.5,4,4.6,11.1
1970-71,24,CAR,ABA,PF,25,NA,395,6.4,13.8,0.464,0,0,NA,6.4,13.8,0.464,2.6,3.7,0.707,2.5,7.6,10,1,1.1,5.9,15.4
1970-71,24,PTC,ABA,C,6,NA,30,7.2,14.4,0.5,0,0,NA,7.2,14.4,0.5,3.6,7.2,0.5,7.2,6,13.2,3.6,2.4,3.6,18
Career,NA,,TOT,,135,NA,1616,6.5,14.1,0.461,0,0,NA,6.5,14.1,0.461,2.1,3.3,0.633,3.1,7,9.3,1.3,1.8,6.3,15.1
,NA,,NBA,,97,NA,1074,6.7,14.8,0.452,NA,NA,NA,6.7,14.8,0.452,1.9,3.1,0.613,NA,NA,8.9,1.3,NA,6.6,15.3
,NA,,ABA,,38,NA,542,6.1,12.7,0.482,0,0,NA,6.1,12.7,0.482,2.4,3.6,0.667,3.1,7,10.1,1.3,1.8,5.5,14.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BOS,NBA,,97,NA,1074,6.7,14.8,0.452,NA,NA,NA,6.7,14.8,0.452,1.9,3.1,0.613,NA,NA,8.9,1.3,NA,6.6,15.3
1 season,NA,CAR,ABA,,25,NA,395,6.4,13.8,0.464,0,0,NA,6.4,13.8,0.464,2.6,3.7,0.707,2.5,7.6,10,1,1.1,5.9,15.4
1 season,NA,FLO,ABA,,7,NA,117,4.9,8.6,0.571,0,0,NA,4.9,8.6,0.571,1.2,2.2,0.571,4,5.5,9.5,1.5,4,4.6,11.1
1 season,NA,PTC,ABA,,6,NA,30,7.2,14.4,0.5,0,0,NA,7.2,14.4,0.5,3.6,7.2,0.5,7.2,6,13.2,3.6,2.4,3.6,18
