,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,BOS,NBA,,3,,,,,,3,4,,,,,,,9
1969-70,23,BOS,NBA,,9,,,,,,5,8,,,,,,,19
1970-71,24,BOS,NBA,,4,5,,,,,0,0,,,5,0,,3,8
1970-71,24,FLO,ABA,,4,,0,,,,2,5,,,,,,,8
1970-71,24,CAR,ABA,,9,,0,,,,4,5,,,,,,,22
1970-71,24,PTC,ABA,,4,,0,,,,2,3,,,,,,,10
1970-71,24,TOT,ABA,,9,,0,,,,4,5,,,,,,,22
Career,,,TOT,,9,,,,,,5,8,,,,,,,22
,,,NBA,,9,,,,,,5,8,,,,,,,19
,,,ABA,,9,,0,,,,4,5,,,,,,,22
,,,,,,,,,,,,,,,,,,,
3 Seasons,,BOS,NBA,,9,,,,,,5,8,,,,,,,19
1 Season,,CAR,ABA,,9,,0,,,,4,5,,,,,,,22
1 Season,,FLO,ABA,,4,,0,,,,2,5,,,,,,,8
1 Season,,PTC,ABA,,4,,0,,,,2,3,,,,,,,10
