Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Chris Gatling,,4.6,4.5,4,3.9,3.9,3.1,2.4,2.4,2,1.4,-0.1,NA,NA,NA
Corliss Williamson,88.2,5.1,4.9,4.4,4.1,3.6,3.3,3.2,2.7,2.5,1.5,0.2,-0.8,NA,NA
Frank Brickowski,87.6,4.7,4.1,3.8,3.7,3.6,3.4,2.7,1.6,1.1,1,0.4,-0.1,NA,NA
Kurt Rambis,86.5,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.7,1.5,0.6,0.3
Ray Scott,86.5,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9,NA,NA,NA
Cliff Robinson,86.4,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1,NA,NA,NA
Walt Williams,86.2,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7,NA,NA,NA
Tom Van Arsdale,85.3,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1,NA,NA
Bingo Smith,85.0,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,NA,NA,NA
Tim Thomas,85.0,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,1.7,0.9,0.7,NA
Stephen Jackson,84.8,5,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,0.6,0.3,-0.1,-0.2
