Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,29,DAL,NBA,PF,1,0,12:00,1,8,0.125,0,0,NA,0,0,NA,0,2,0,1,0,0,1,2
Career,NA,,NBA,,1,0,12,1,8,0.125,0,0,NA,0,0,NA,0,2,0,1,0,0,1,2
