Season,Team,Lg,Salary
1991-92,Golden State Warriors,NBA,"$700,000"
1992-93,Golden State Warriors,NBA,"$910,000"
1993-94,Golden State Warriors,NBA,"$1,120,000"
1994-95,Golden State Warriors,NBA,"$1,330,000"
1995-96,Golden State Warriors,NBA,"$1,540,000"
1996-97,Dallas Mavericks,NBA,"$3,047,000"
1997-98,New Jersey Nets,NBA,"$3,656,400"
1998-99,Milwaukee Bucks,NBA,"$4,266,000"
1999-00,Denver Nuggets,NBA,"$4,875,200"
2000-01,Cleveland Cavaliers,NBA,"$5,550,000"
2001-02,Miami Heat,NBA,"$2,504,227"
Career,(may be incomplete),,"$29,498,827"
