,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,26,SYR,NBA,,6,,6,11,,,,17
1950-51,27,SYR,NBA,,11,,7,10,,,,23
1951-52,28,TOT,NBA,,11,,7,9,,,,26
1951-52,28,BLB,NBA,,11,,7,9,,,,26
1951-52,28,ROC,NBA,,5,,4,5,,,6,12
1952-53,29,ROC,NBA,,6,,8,9,,,,20
1953-54,30,ROC,NBA,,7,,5,7,,,,18
1954-55,31,MLH,NBA,,9,,5,,,,6,19
1955-56,32,STL,NBA,,6,,6,10,,,6,15
1956-57,33,TOT,NBA,,4,,5,7,,,6,11
1956-57,33,FTW,NBA,,4,,3,4,,,5,10
1956-57,33,STL,NBA,,4,,5,7,,,6,11
Career,,,,,11,,8,,,,,26
3 Seasons,,ROC,NBA,,7,,8,9,,,,20
3 Seasons,,"MLH,STL",NBA,,9,,6,,,,6,19
2 Seasons,,SYR,NBA,,11,,7,11,,,,23
1 Season,,BLB,NBA,,11,,7,9,,,,26
1 Season,,FTW,NBA,,4,,3,4,,,5,10
