Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,26,SYR,NBA,PF,11,NA,NA,3.5,7.8,0.442,1.5,3.1,0.5,NA,0.9,4.5,8.5
1950-51,27,SYR,NBA,PF,7,NA,NA,2.4,5.6,0.436,1.1,1.4,0.8,6.7,2.4,5.3,6
1951-52,28,ROC,NBA,PF,6,NA,24.3,2.7,7,0.381,1.3,2.2,0.615,4.3,1.3,5,6.7
1952-53,29,ROC,NBA,PF,3,NA,17.3,1.3,3.3,0.4,1,2.7,0.375,1.3,0.7,5.3,3.7
1953-54,30,ROC,NBA,PF,6,NA,17.8,2,4.8,0.414,2.5,4,0.625,3.7,0.8,4.7,6.5
1955-56,32,STL,NBA,PF,8,NA,19.9,2.6,8.3,0.318,2.4,4.4,0.543,3.6,1.3,4.5,7.6
1956-57,33,STL,NBA,PF,2,NA,3,0,1,0,0,0,NA,0,0,1,0
Career,NA,,NBA,,43,NA,18.8,2.5,6.4,0.394,1.6,2.9,0.565,4,1.2,4.6,6.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SYR,NBA,,18,NA,NA,3.1,6.9,0.44,1.4,2.4,0.568,6.7,1.5,4.8,7.5
3 seasons,NA,ROC,NBA,,15,NA,20.3,2.1,5.4,0.395,1.7,3,0.578,3.5,1,4.9,6
2 seasons,NA,STL,NBA,,10,NA,16.5,2.1,6.8,0.309,1.9,3.5,0.543,2.9,1,3.8,6.1
