Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Alex Hannum,,5.1,2.1,1.7,1.6,0.5,0.4,NA,NA
Brian Cook,88.0,4.5,2,1.8,1.1,0.6,0.4,0,-0.2
Anthony Bonner,81.4,4.1,2.4,1.8,1.6,0.7,0,NA,NA
Samaki Walker,80.7,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5
Ed Nealy,79.1,4.7,2,1.9,1.5,1.3,1.2,0.4,0.3
Kyle Singler,78.8,4.4,2.3,2,1.1,0.3,0,NA,NA
Nemanja Bjelica,78.2,4.5,2.8,1.9,1.5,NA,NA,NA,NA
Gus Gerard,77.6,4.3,1.9,1.5,1.3,1.3,0.5,0.3,NA
Harold Pressley,75.5,4.8,2.3,2.2,0.7,NA,NA,NA,NA
Jon Leuer,75.0,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1
Tim Perry,74.9,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1
