Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Hollis Thompson,,2.6,2,1.2,0.7
Claude Terry,90.2,2.4,1.8,1,0.8
Alonzo Gee,89.1,2.4,1.9,1,0.4
Trey Burke,88.0,2.4,2.1,0.9,0.5
Ledell Eackles,88.0,2.1,2,1.2,1
Sedale Threatt,86.6,2.5,2.1,1.3,0.1
Travis Diener,86.3,2.5,1.9,0.7,0.6
James Robinson,86.3,2.3,1.9,1.2,0.2
Jerryd Bayless,84.9,2.7,2,1.6,0.3
Tom Garrick,84.7,2.5,1.8,1.4,0.2
Norman Powell,84.3,2.8,2.4,1.6,0.6
