Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Hollis Thompson,,2.6,2,1.2,0.7,NA,NA,NA
Tim Frazier,88.8,2.4,2,1.4,1,-0.1,NA,NA
Mike Barr,86.7,2.7,1.7,1.4,0.7,0.4,NA,NA
Travis Diener,86.0,2.5,1.9,0.7,0.6,0,NA,NA
Tom Garrick,84.7,2.5,1.8,1.4,0.2,NA,NA,NA
Norman Powell,84.3,2.8,2.4,1.6,0.6,NA,NA,NA
Bo Lamar,83.1,2.5,1.5,1,0.5,NA,NA,NA
James Robinson,82.9,2.3,1.9,1.2,0.2,0.2,0,-0.1
Nelson Bobb,82.0,2,1.8,1.2,1.1,NA,NA,NA
Rumeal Robinson,81.0,2.4,1.9,1,0.5,-0.1,-0.6,NA
Jordan Crawford,80.0,2.8,1.9,1.1,0.9,0.2,-0.6,NA
