Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Šarūnas Marčiulionis,,6.4,3.8,3,2.6,2.5,2.3,-0.5
Darrell Walker,89.3,6.3,3.8,3.7,2.8,2.3,2.1,0.8
George Senesky,88.0,6.2,4.4,3.6,2.6,2.3,2,0.3
Larry Miller,87.9,6.2,3.4,3.2,3,2.4,1.3,0
Anthony Morrow,85.6,5.7,3.5,3,3,2.4,1.7,0.7
Maurice Evans,84.7,4.9,3.8,3.2,3.1,2.6,2.1,0.1
O.J. Mayo,84.7,5.6,4.2,3.5,3.4,2.8,2.4,0.1
Lionel Hollins,84.0,5.2,4,3.4,2.9,2.3,1.8,0.1
Jeremy Lin,83.9,5.4,4.4,3.5,2.7,2.7,2.1,0.5
Chris Childs,83.6,5.8,3.9,3.7,2.9,2.2,2.1,1.2
Darwin Cook,83.1,6,3.9,3.6,3,2.7,1.6,1.2
