Season,Team,Lg,Salary
1989-90,Golden State Warriors,NBA,"$1,400,000"
1990-91,Golden State Warriors,NBA,"$1,270,000"
1991-92,Golden State Warriors,NBA,"$1,267,000"
1992-93,Golden State Warriors,NBA,"$1,500,000"
1993-94,Golden State Warriors,NBA,"$1,900,000"
1994-95,Seattle SuperSonics,NBA,"$2,100,000"
1995-96,Sacramento Kings,NBA,"$2,400,000"
1996-97,Denver Nuggets,NBA,"$2,500,000"
Career,(may be incomplete),,"$14,337,000"
