Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jeff Ruland,,10.1,9.3,7.8,3.5,3.3,0.3,0,0
Hassan Whiteside,84.5,10.3,9.5,6.3,5.3,5.3,0.2,0,NA
Steven Adams,79.7,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA
Tyson Chandler,77.4,10,8.3,7.9,5.4,3.9,3.4,1.9,1.8
Clint Capela,77.1,10.8,10.2,5.9,4.4,0,NA,NA,NA
Steve Stipanovich,76.8,9,6.9,5.9,5,3.6,NA,NA,NA
Marcus Camby,76.0,10.3,6.9,5.9,3.7,3.5,2.1,1.5,0.9
Ed Sadowski,75.3,11.8,10.7,9.3,4.3,NA,NA,NA,NA
Zydrunas Ilgauskas,74.7,9.4,8.7,8.1,7.8,5,2.5,0.7,0.5
Bill Walton,74.7,10.2,8.4,3.8,3.6,3.3,2.3,2,0.8
Stan Miasek,74.4,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA
