Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jeff Ruland,,10.1,9.3,7.8,3.5,3.3,0.3,0,0,NA,NA
Hassan Whiteside,84.5,10.3,9.5,6.3,5.3,5.3,0.2,0,NA,NA,NA
Steven Adams,79.7,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA,NA
Clint Capela,77.1,10.8,10.2,5.9,4.4,0,NA,NA,NA,NA,NA
Steve Stipanovich,76.8,9,6.9,5.9,5,3.6,NA,NA,NA,NA,NA
Ed Sadowski,75.3,11.8,10.7,9.3,4.3,NA,NA,NA,NA,NA,NA
Stan Miasek,74.4,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA
George Ratkovicz,71.5,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA,NA
Bill Walton,71.1,10.2,8.4,5,3.8,3.6,3.3,2.3,2,0.8,-0.1
Nikola Jokić,69.4,11.8,10.7,9.7,6.7,NA,NA,NA,NA,NA,NA
Tom Boerwinkle,68.7,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2
