Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Angelo Musi,,3.5,1.3,1.1,NA,NA,NA
Stan Stutz,87.9,3.9,1.7,1.1,NA,NA,NA
Tyus Edney,80.4,3.3,1.5,1.4,0.5,NA,NA
Jiří Welsch,80.2,3.6,1.7,0.8,-0.4,NA,NA
Billy Ray Bates,79.1,3.6,2.4,0.9,0,NA,NA
Johnny High,77.1,2.5,1.2,1.1,-0.1,NA,NA
Dan Dickau,77.0,3.5,1.5,0.4,0.4,0,0
Ralph Johnson,76.9,2.9,1.6,0.8,0,NA,NA
Ron Sobie,75.3,3.6,2.6,0.9,0.1,NA,NA
Paul Thompson,75.1,3.7,1.1,0.1,NA,NA,NA
Al Butler,74.7,4.1,2.1,1.1,-0.3,NA,NA
