Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dickey Simpkins,,2.9,1.2,0.7,0.6,0.1,0,-0.7
Jeff Lamp,80.8,3,1,0.7,0.6,0,-0.1,NA
Sam Young,77.9,2.9,1.2,0.9,0.2,NA,NA,NA
Rowland Garrett,77.2,3.1,1.1,0.8,0.5,-0.1,NA,NA
Lou Amundson,72.7,2.9,1.8,1,0.6,0.1,0.1,0.1
Darius Miller,72.3,3,1.6,0.8,0.5,-0.1,NA,NA
John Trapp,71.4,3.3,1.2,1.2,0.6,0,NA,NA
Bill Turner,70.2,3.1,1.1,0.7,0.5,-0.2,-0.4,NA
Charles Jones,69.9,2.9,0.9,0.6,0.1,NA,NA,NA
Chris Crawford,69.4,2.7,1.3,0.9,0.6,0.6,0.2,0.1
Sam Dekker,67.8,3.1,1.2,1,0,NA,NA,NA
