Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Dickey Simpkins,,2.9,1.2,0.7,0.6,0.1,0,-0.7,NA,NA,NA
Jeff Lamp,80.8,3,1,0.7,0.6,0,-0.1,NA,NA,NA,NA
Sam Young,77.9,2.9,1.2,0.9,0.2,NA,NA,NA,NA,NA,NA
Rowland Garrett,77.2,3.1,1.1,0.8,0.5,-0.1,NA,NA,NA,NA,NA
Darius Miller,72.3,3,1.6,0.8,0.5,-0.1,NA,NA,NA,NA,NA
John Trapp,71.4,3.3,1.2,1.2,0.6,0,NA,NA,NA,NA,NA
Bill Turner,70.2,3.1,1.1,0.7,0.5,-0.2,-0.4,NA,NA,NA,NA
Charles Jones,69.9,2.9,0.9,0.6,0.1,NA,NA,NA,NA,NA,NA
Chris Crawford,69.4,2.7,1.3,0.9,0.6,0.6,0.2,0.1,NA,NA,NA
Sam Dekker,67.8,3.1,1.2,1,0,NA,NA,NA,NA,NA,NA
Lou Amundson,67.2,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
