Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1978-79,22,NYK,NBA,SF,12,NA,8.1,0.8,2.2,0.346,0.8,1,0.833,0.8,0.7,1.4,0.3,0.3,0.3,0.4,0.8,2.3
Career,NA,,NBA,,12,NA,8.1,0.8,2.2,0.346,0.8,1,0.833,0.8,0.7,1.4,0.3,0.3,0.3,0.4,0.8,2.3
