,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,27,KEN,ABA,,16,,6,,,,12,13,,,,,,,,,43
1968-69,28,KEN,ABA,,17,,7,,,,15,16,,,,,,,,,53
1969-70,29,KEN,ABA,,14,,5,,,,17,18,,,,,,,,,43
1970-71,30,KEN,ABA,,15,,4,,,,16,17,,,,,,,,,37
1971-72,31,KEN,ABA,,12,21,3,5,9,19,8,9,,,6,,,,,5,29
1972-73,32,MMT,ABA,,5,,2,,,,5,6,,,,,,,,,12
Career,,,,,17,,7,,,,17,18,,,,,,,,,53
5 Seasons,,KEN,ABA,,17,,7,,,,17,18,,,,,,,,,53
1 Season,,MMT,ABA,,5,,2,,,,5,6,,,,,,,,,12
