Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Darel Carrier,,8.7,8,7.8,4.9,0.9,0.2,NA,NA,NA,NA
Micheal Williams,87.2,9,7.6,5.7,5.6,0.7,0.3,0,-0.1,-0.1,-0.2
John Logan,86.1,9.2,8.3,5.2,4.3,1,NA,NA,NA,NA,NA
Glen Combs,83.4,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA
CJ McCollum,80.2,7.6,6.6,6,5.6,1.8,0.2,NA,NA,NA,NA
Ray Williams,77.6,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4
Brandon Roy,77.2,13.5,9.1,8,4.8,2.1,0,NA,NA,NA,NA
Doug Collins,76.7,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA
George Thompson,76.7,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA
Reggie Lewis,76.5,9.1,8.3,7.5,6.9,6.7,0.4,NA,NA,NA,NA
Phil Chenier,75.4,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1
