Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,27,KEN,ABA,SG,77,3192,16.5,0.503,0.152,0.31,NA,NA,4.8,8.9,NA,NA,11.5,23.5,NA,6,2.7,8.7,0.131
1968-69,28,KEN,ABA,SG,73,2858,16.8,0.523,0.24,0.396,NA,NA,4.3,11.6,NA,NA,11.6,23.7,NA,5.3,2.5,7.8,0.131
1969-70,29,KEN,ABA,SG,77,2805,17,0.528,0.192,0.349,NA,NA,3.9,11.4,NA,NA,11.2,24.5,NA,5.5,2.5,8,0.137
1970-71,30,KEN,ABA,SG,84,2664,13,0.528,0.141,0.331,NA,NA,3.8,11.6,NA,NA,13.2,20,NA,3.6,1.3,4.9,0.088
1971-72,31,KEN,ABA,SG,23,629,12.1,0.499,0.128,0.306,1.7,6.4,4.2,9.3,NA,NA,10.4,22.3,NA,0.4,0.6,0.9,0.072
1972-73,32,MMT,ABA,SG,16,190,7.7,0.525,0.2,0.433,1,6.3,3.6,6.8,NA,NA,17.4,17.6,NA,0.2,0,0.2,0.051
Career,NA,,ABA,,350,12338,15.6,0.519,0.18,0.345,1.5,6.4,4.2,10.6,NA,NA,11.8,22.9,NA,20.8,9.7,30.5,0.119
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,KEN,ABA,,334,12148,15.7,0.519,0.18,0.344,1.7,6.4,4.2,10.7,NA,NA,11.8,23,NA,20.7,9.7,30.3,0.12
1 season,NA,MMT,ABA,,16,190,7.7,0.525,0.2,0.433,1,6.3,3.6,6.8,NA,NA,17.4,17.6,NA,0.2,0,0.2,0.051
