Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Darel Carrier,,8.7,8,7.8,4.9,0.9,0.2
Ray Williams,90.7,8.2,7.9,7.2,3.9,1,0.9
Micheal Williams,87.1,9,7.6,5.7,5.6,0.7,-0.2
Jon McGlocklin,86.6,8.9,8.2,7.9,1.8,1.1,0.9
Richard Hamilton,86.1,8.1,7.4,7.3,4,2.4,0.7
John Logan,86.1,9.2,8.3,5.2,4.3,1,NA
Andy Phillip,85.7,9.7,7.7,7.4,4.8,3.8,NA
Michael Adams,84.7,8.3,7.5,6.9,6.3,2.7,-0.1
Otis Birdsong,84.2,8.8,8.6,8.2,5.2,4.2,1.6
Lucius Allen,84.1,8.2,7.6,7.6,3.6,2.2,1.9
Fred Brown,83.7,8.8,7.9,6.4,6.1,2.8,-0.9
