Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Luke Babbitt,,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4,NA,NA,NA
Marc Iavaroni,82.2,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA,NA,NA
John Wallace,77.5,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA,NA,NA
Brian Scalabrine,75.5,1.7,1.4,1.1,1,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Darvin Ham,74.4,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA,NA,NA
Michael Ruffin,73.9,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0,NA,NA
Charles Davis,71.5,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA,NA,NA
Anthony Randolph,71.2,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA,NA,NA
Mark Madsen,70.0,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3,NA,NA
Lance Thomas,69.4,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4,NA,NA,NA
Scott Hastings,68.5,2.1,1.5,1.3,1.3,1,0.8,0.5,0.4,0.3,0.3,0.1
