Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,23,CHI,NBA,SF,41,NA,373,8.3,22.6,0.37,2.6,3.9,0.656,3.8,4.8,8.6,1.3,0.6,1.1,5.3,19.2,NA,NA,97
1974-75,24,CHI,NBA,SF,70,NA,1183,9.3,19.3,0.481,3.1,3.9,0.794,3.3,6.8,10.1,1.8,1,0.5,5,21.7,NA,NA,96
1975-76,25,TOT,NBA,SF,55,NA,540,9.5,22.8,0.419,4.7,5.7,0.815,4,6.3,10.3,1.5,2.2,0.6,6,23.7,NA,NA,96
1975-76,25,CHI,NBA,SF,14,NA,324,8.4,19.4,0.435,5.6,6.5,0.864,4,7.1,11.1,1,1.2,0.6,4.7,22.5,NA,NA,98
1975-76,25,CLE,NBA,SF,41,NA,216,11.2,27.8,0.402,3.3,4.6,0.714,3.9,5.2,9.2,2.2,3.7,0.7,7.9,25.6,NA,NA,93
1976-77,26,TOT,NBA,SF,62,NA,598,8,18.1,0.444,3.1,3.9,0.804,2.8,5.7,8.5,2,1.6,0.8,6.1,19.2,NA,NA,102
1976-77,26,CLE,NBA,SF,29,NA,215,8.8,20.5,0.43,4,4.8,0.818,2.2,6.6,8.8,1.5,1.5,0.7,6.6,21.5,NA,NA,99
1976-77,26,MIL,NBA,SF,33,NA,383,7.6,16.9,0.452,2.7,3.4,0.793,3.1,5.2,8.3,2.3,1.6,0.8,5.8,17.9,NA,NA,104
Career,NA,,NBA,,228,NA,2694,8.9,20.2,0.441,3.4,4.3,0.772,3.4,6.2,9.5,1.7,1.3,0.7,5.5,21.2,NA,NA,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CHI,NBA,,125,NA,1880,8.9,20,0.447,3.4,4.4,0.77,3.5,6.4,9.9,1.5,0.9,0.7,5,21.3,NA,NA,96
2 seasons,NA,CLE,NBA,,70,NA,431,10,24.1,0.414,3.6,4.7,0.767,3.1,5.9,9,1.9,2.6,0.7,7.2,23.6,NA,NA,96
1 season,NA,MIL,NBA,,33,NA,383,7.6,16.9,0.452,2.7,3.4,0.793,3.1,5.2,8.3,2.3,1.6,0.8,5.8,17.9,NA,NA,104
