,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1972-73,22,CHI,NBA,,4,12,5,6,,,6,3,,,3,11
1973-74,23,CHI,NBA,,8,,4,4,,,,,,,,16
1974-75,24,CHI,NBA,,8,16,5,6,,,13,3,,,5,21
1975-76,25,TOT,NBA,,9,,12,13,,,,,,,,22
1975-76,25,CHI,NBA,,9,,12,13,,,,,,,,22
1975-76,25,CLE,NBA,,6,13,3,3,,,9,2,,,3,15
1976-77,26,TOT,NBA,,5,,4,5,,,,,,,,12
1976-77,26,CLE,NBA,,5,11,2,3,2,5,5,2,1,1,4,12
1976-77,26,MIL,NBA,,5,,4,5,,,,,,,,12
Career,,,,,9,,12,13,,,,,,,,22
4 Seasons,,CHI,NBA,,9,,12,13,,,,,,,,22
2 Seasons,,CLE,NBA,,6,13,3,3,,,9,2,,,4,15
1 Season,,MIL,NBA,,5,,4,5,,,,,,,,12
