Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rowland Garrett,,3.1,1.1,0.8,0.5,-0.1
Bill Turner,91.9,3.1,1.1,0.7,0.5,-0.4
Jeff Lamp,90.5,3,1,0.7,0.6,0
Dickey Simpkins,88.1,2.9,1.2,0.7,0.6,0.1
Darius Miller,87.6,3,1.6,0.8,0.5,-0.1
Sam Young,86.1,2.9,1.2,0.9,0.2,NA
John Trapp,84.0,3.3,1.2,1.2,0.6,0
Sam Dekker,83.9,3.1,1.2,1,0,NA
Marty Conlon,83.4,3.1,1.4,1,0.6,0.3
Barney Cable,81.8,3.3,1.6,0.7,0.4,0.1
Charles Jones,80.9,2.9,0.9,0.6,0.1,NA
