Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Rowland Garrett,,3.1,1.1,0.8,0.5,-0.1,NA,NA
Jeff Lamp,89.0,3,1,0.7,0.6,0,-0.1,NA
Bill Turner,88.3,3.1,1.1,0.7,0.5,-0.2,-0.4,NA
Darius Miller,87.6,3,1.6,0.8,0.5,-0.1,NA,NA
Sam Young,86.1,2.9,1.2,0.9,0.2,NA,NA,NA
John Trapp,84.0,3.3,1.2,1.2,0.6,0,NA,NA
Sam Dekker,83.9,3.1,1.2,1,0,NA,NA,NA
Charles Jones,80.9,2.9,0.9,0.6,0.1,NA,NA,NA
Barney Cable,77.5,3.3,1.6,0.7,0.4,0.3,0.1,NA
Derrick Jones,77.4,2.9,1.1,0.4,NA,NA,NA,NA
Dickey Simpkins,77.2,2.9,1.2,0.7,0.6,0.1,0,-0.7
