Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Tom Gola,,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7
José Calderón,91.7,10.2,7.5,7.4,6.3,5.4,5.1,4.2,3.7,0.9,0.9
Andy Phillip,90.8,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,NA
Randy Smith,90.8,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.2
Sleepy Floyd,90.6,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,0.9
Reggie Theus,90.6,9.2,6.9,6.5,6.4,6.2,5.3,4.6,3.7,3.2,1.8
Dick Snyder,90.4,10,8,6.4,6.2,6.2,6,4.1,3.7,1.8,0.6
Vern Fleming,89.9,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.4
Joe Johnson,89.7,8.4,7.6,7.6,7,6,5.1,4.2,3.3,3,2.8
George Hill,88.8,9.7,7.8,6.7,6.2,6.1,5.9,5.4,4,3.2,2.1
Baron Davis,88.6,8.9,8.7,8.2,7.5,6.4,4.5,4.4,4.4,2.1,0.6
