Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1955-56,23,PHW,NBA,SG,68,2346,16.7,0.496,0.563,NA,NA,NA,NA,NA,4,2.5,6.5,0.132
1957-58,25,PHW,NBA,SG,59,2126,18.3,0.482,0.421,NA,NA,NA,NA,NA,3.9,3.2,7.1,0.161
1958-59,26,PHW,NBA,SG,64,2333,17.4,0.484,0.462,NA,NA,NA,NA,NA,3.8,3.6,7.4,0.153
1959-60,27,PHW,NBA,SG,75,2870,15.4,0.495,0.346,NA,NA,NA,NA,NA,4.5,5.4,9.9,0.166
1960-61,28,PHW,NBA,SG,74,2712,13.3,0.494,0.299,NA,NA,NA,NA,NA,3.5,3.3,6.8,0.121
1961-62,29,PHW,NBA,SG,60,2462,11.4,0.473,0.301,NA,NA,NA,NA,NA,1.6,2.7,4.4,0.085
1962-63,30,TOT,NBA,SF-SG,73,2670,12,0.505,0.277,NA,NA,NA,NA,NA,2.6,1.7,4.4,0.078
1962-63,30,SFW,NBA,SG,21,822,10.5,0.5,0.272,NA,NA,NA,NA,NA,0.7,0.6,1.3,0.076
1962-63,30,NYK,NBA,SF,52,1848,12.7,0.507,0.279,NA,NA,NA,NA,NA,2,1.1,3.1,0.079
1963-64,31,NYK,NBA,SG,74,2156,11.6,0.482,0.352,NA,NA,NA,NA,NA,1.6,0.2,1.7,0.039
1964-65,32,NYK,NBA,SG,77,1727,12,0.506,0.396,NA,NA,NA,17.3,NA,2.2,1.2,3.4,0.094
1965-66,33,NYK,NBA,SG,74,1127,12.2,0.514,0.387,NA,NA,NA,20.8,NA,1.3,0.4,1.7,0.071
Career,NA,,NBA,,698,22529,14.1,0.491,0.371,NA,NA,NA,18.7,NA,29.1,24.1,53.2,0.113
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"PHW,SFW",NBA,,421,15671,15,0.488,0.381,NA,NA,NA,NA,NA,22.1,21.3,43.4,0.133
4 seasons,NA,NYK,NBA,,277,6858,12.1,0.5,0.346,NA,NA,NA,18.7,NA,7,2.8,9.8,0.069
