,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1955-56,23,PHW,NBA,,8,,9,12,,,6,21
1957-58,25,PHW,NBA,,9,,9,15,,,,27
1958-59,26,PHW,NBA,,12,22,13,15,,9,6,26
1959-60,27,PHW,NBA,,13,25,10,13,,13,6,27
1960-61,28,PHW,NBA,,11,22,9,12,,,6,26
1961-62,29,PHW,NBA,,11,,8,,,,,26
1962-63,30,TOT,NBA,,12,,8,,,,,27
1962-63,30,SFW,NBA,,10,19,8,8,12,8,6,24
1962-63,30,NYK,NBA,,12,,6,,,,,27
1963-64,31,NYK,NBA,,13,,9,11,,,,29
1964-65,32,NYK,NBA,,8,,6,10,,,,19
1965-66,33,NYK,NBA,,9,,4,5,,,,20
Career,,,,,13,,13,,,,,29
7 Seasons,,"PHW,SFW",NBA,,13,,13,,,,,27
4 Seasons,,NYK,NBA,,13,,9,,,,,29
