,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1988-89,23,MIA,NBA,,13,24,2,3,13,23,8,9,3,10,10,12,6,3,11,5,34,27.3
1989-90,24,MIA,NBA,,14,25,1,2,14,25,7,9,4,8,10,9,5,3,6,6,33,29.9
1990-91,25,MIA,NBA,,12,26,3,8,11,25,10,12,6,6,10,7,5,4,6,6,34,21.8
1991-92,26,MIA,NBA,,11,18,1,2,11,16,12,12,4,8,9,7,6,2,7,6,26,23.6
1992-93,27,MIA,NBA,,13,24,1,3,13,23,13,15,4,5,8,7,6,2,5,4,26,24.8
1993-94,28,NJN,NBA,,10,22,2,4,10,21,9,10,4,8,12,9,5,3,6,5,28,23.9
1994-95,29,NJN,NBA,,7,14,3,7,6,11,7,8,3,4,7,5,3,1,5,5,22,17.2
1995-96,30,NJN,NBA,,11,21,4,6,8,15,7,9,3,6,7,5,5,1,7,5,26,19.4
1996-97,31,NJN,NBA,38:34,8,18,2,5,7,16,5,6,2,7,8,5,2,1,6,4,21,14.2
1997-98,32,TOT,NBA,34:10,6,13,2,2,5,13,4,4,3,5,5,5,3,1,3,4,15,14.0
1997-98,32,NJN,NBA,34:10,6,10,2,2,5,10,3,4,2,5,5,4,3,0,2,4,15,14.0
1997-98,32,ORL,NBA,27:28,5,13,1,2,5,13,4,4,3,4,4,5,2,1,3,2,12,7.4
2000-01,35,VAN,NBA,40:50,6,13,2,3,6,11,7,8,3,5,5,5,2,2,4,4,13,11.5
Career,,,,40:50,14,26,4,8,14,25,13,15,6,10,12,12,6,4,11,6,34,29.9
5 Seasons,,MIA,NBA,,14,26,3,8,14,25,13,15,6,10,10,12,6,4,11,6,34,29.9
5 Seasons,,NJN,NBA,38:34,11,22,4,7,10,21,9,10,4,8,12,9,5,3,7,5,28,23.9
1 Season,,VAN,NBA,40:50,6,13,2,3,6,11,7,8,3,5,5,5,2,2,4,4,13,11.5
1 Season,,ORL,NBA,27:28,5,13,1,2,5,13,4,4,3,4,4,5,2,1,3,2,12,7.4
