Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Kevin Edwards,,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2,NA
Lee Winfield,87.0,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
Elliot Perry,80.7,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4,NA,NA
Roger Mason,79.6,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA,NA
Troy Hudson,79.5,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0,-0.1,-0.2,NA
Al Skinner,78.5,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA,NA,NA,NA
Sonny Hertzberg,78.4,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Kent Bazemore,78.3,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA,NA,NA
Toney Douglas,78.0,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,NA,NA,NA,NA
Armond Hill,77.7,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA,NA,NA
Jaren Jackson,77.0,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
