,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1947-48,24,STB,BAA,,8,23,7,7,,2,6,22
1948-49,25,STB,BAA,,12,,3,3,,,3,27
1951-52,28,SYR,NBA,,8,,10,11,,,6,22
1952-53,29,SYR,NBA,,5,,9,11,,,6,19
1954-55,31,SYR,NBA,,8,,9,11,,,6,21
1955-56,32,SYR,NBA,,4,12,6,7,,3,6,14
1956-57,33,FTW,NBA,,0,,2,3,,0,3,2
Career,,,TOT,,12,,10,11,,,6,27
,,,NBA,,8,,10,11,,,6,22
,,,BAA,,12,,7,7,,,6,27
,,,,,,,,,,,,
4 Seasons,,SYR,NBA,,8,,10,11,,,6,22
2 Seasons,,STB,BAA,,12,,7,7,,,6,27
1 Season,,FTW,NBA,,0,,2,3,,0,3,2
