Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Red Rocha,,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1
Greg Monroe,92.3,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1
DeMarcus Cousins,90.2,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1
Caldwell Jones,90.2,8.1,7.6,6.2,5.5,5.2,5,4.4,3.9,3.1
Tree Rollins,90.2,9.2,7.3,6.4,6.4,5.5,5,3.8,3.4,2.6
Nate Thurmond,90.2,9,7.2,7.2,6.5,6.1,5.2,4.3,3.7,3.5
Emeka Okafor,89.9,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1
Mychal Thompson,89.9,8.2,6.9,6.1,5.4,5.3,4.6,4.4,3.7,2.6
Al Jefferson,89.2,7.8,7.7,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Red Kerr,88.7,8.7,7.8,7.7,5.8,5.4,5,4.6,3.9,3.8
Brook Lopez,88.2,9,7.9,7,6.3,6.2,5.8,4.9,2.3,0.3
