Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1947-48,24,STB,BAA,C,48,NA,NA,0.366,0.288,NA,NA,NA,NA,NA,4.2,3.1,7.2,NA
1948-49,25,STB,BAA,C,58,NA,NA,0.456,0.368,NA,NA,NA,NA,NA,5.1,-0.1,5.1,NA
1949-50,26,STB,NBA,C,65,NA,NA,0.471,0.461,NA,NA,NA,NA,NA,6.2,0.8,7,NA
1950-51,27,BLB,NBA,C,64,NA,NA,0.429,0.355,NA,NA,NA,NA,NA,2.4,2.3,4.6,NA
1951-52,28,SYR,NBA,C,66,2543,15.2,0.478,0.441,NA,NA,NA,NA,NA,4.6,3.2,7.8,0.148
1952-53,29,SYR,NBA,C,69,2454,14.4,0.466,0.449,NA,NA,NA,NA,NA,3.3,3.2,6.5,0.126
1954-55,31,SYR,NBA,C,72,2473,12,0.438,0.355,NA,NA,NA,NA,NA,1.1,3.8,5,0.096
1955-56,32,SYR,NBA,C,72,1883,12.4,0.441,0.406,NA,NA,NA,NA,NA,1,2.7,3.6,0.092
1956-57,33,FTW,NBA,C,72,1154,11,0.42,0.369,NA,NA,NA,NA,NA,0.2,0.8,1,0.044
Career,NA,,TOT,,586,10507,13.3,0.441,0.387,NA,NA,NA,NA,NA,28,19.9,47.9,0.109
,NA,,NBA,,480,10507,13.3,0.451,0.405,NA,NA,NA,NA,NA,18.7,16.9,35.6,0.109
,NA,,BAA,,106,NA,NA,0.406,0.323,NA,NA,NA,NA,NA,9.3,3,12.3,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,SYR,NBA,,279,9353,13.6,0.456,0.411,NA,NA,NA,NA,NA,9.9,12.9,22.9,0.117
3 seasons,NA,STB,BAA,,171,NA,NA,0.429,0.37,NA,NA,NA,NA,NA,15.4,3.8,19.3,NA
1 season,NA,FTW,NBA,,72,1154,11,0.42,0.369,NA,NA,NA,NA,NA,0.2,0.8,1,0.044
1 season,NA,BLB,NBA,,64,NA,NA,0.429,0.355,NA,NA,NA,NA,NA,2.4,2.3,4.6,NA
