,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1947-48,24,STB,BAA,,10,,8,,,,,26
1948-49,25,STB,BAA,,9,,10,11,,,,22
1949-50,26,STB,NBA,,11,,8,12,,,,24
1950-51,27,BLB,NBA,,9,,10,11,,,,26
1951-52,28,SYR,NBA,,10,,9,,,,6,23
1952-53,29,SYR,NBA,,11,,9,11,,,6,31
1954-55,31,SYR,NBA,,9,,9,11,,,6,22
1955-56,32,SYR,NBA,,11,,9,10,,,6,29
1956-57,33,FTW,NBA,,8,,6,8,,,6,18
Career,,,TOT,,11,,10,,,,,31
,,,NBA,,11,,10,,,,,31
,,,BAA,,10,,10,,,,,26
,,,,,,,,,,,,
4 Seasons,,SYR,NBA,,11,,9,,,,6,31
3 Seasons,,STB,BAA,,11,,10,,,,,26
2 Seasons,,FTW,NBA,,8,,6,8,,,,18
1 Season,,BLB,NBA,,9,,10,11,,,,26
