Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tom LaGarde,,2.7,2.2,1.7,0.4,0,-0.5,NA,NA
Tarik Black,79.8,3.1,2.4,1.5,0.7,NA,NA,NA,NA
Gene Wiley,77.3,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA
Greg Stiemsma,76.1,2.7,1.7,1.5,0.1,NA,NA,NA,NA
Jeff Withey,75.5,2.3,1.8,1.8,0.8,0,NA,NA,NA
Reggie Harding,74.8,3.1,2.6,1.6,0,NA,NA,NA,NA
Stanley Roberts,74.8,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1
Festus Ezeli,74.2,2.7,1.7,1.5,NA,NA,NA,NA,NA
Willy Hernangómez,72.2,3.4,2.6,1.8,NA,NA,NA,NA,NA
Bob Christian,70.0,2.4,1.9,0.9,0.5,0,NA,NA,NA
Salah Mejri,69.9,3,2.7,1.3,1.1,NA,NA,NA,NA
