Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tom LaGarde,,2.7,2.2,1.7,0.4,0,-0.5
Tarik Black,79.8,3.1,2.4,1.5,0.7,NA,NA
Gene Wiley,77.3,2.8,2.4,1.8,1.3,-0.1,NA
Will Perdue,77.2,2.5,2.5,2.3,0.5,0.2,-0.1
Stanley Roberts,77.2,3.2,2.1,1.8,0.7,0.5,-0.1
Mikki Moore,76.6,2.8,2.2,1,0.6,0.1,0.1
Greg Stiemsma,76.1,2.7,1.7,1.5,0.1,NA,NA
Jeff Withey,75.5,2.3,1.8,1.8,0.8,0,NA
Reggie Harding,74.8,3.1,2.6,1.6,0,NA,NA
Festus Ezeli,74.2,2.7,1.7,1.5,NA,NA,NA
Alexis Ajinça,73.2,3.2,2.1,1,0.4,0,-0.1
