Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,SAS,NBA,SF,14,14,379,45,90,0.5,18,40,0.45,27,50,0.54,0.6,13,16,0.813,18,65,83,8,17,6,13,23,121
2012-13,21,SAS,NBA,SF,21,21,775,115,211,0.545,23,59,0.39,92,152,0.605,0.6,31,49,0.633,50,140,190,22,37,11,23,40,284
2013-14,22,SAS,NBA,SF,23,23,736,122,239,0.51,31,74,0.419,91,165,0.552,0.575,53,72,0.736,31,124,155,38,39,14,29,66,328
2014-15,23,SAS,NBA,SF,7,7,250,52,109,0.477,11,26,0.423,41,83,0.494,0.528,27,35,0.771,13,39,52,18,8,4,15,18,142
2015-16,24,SAS,NBA,SF,10,10,339,83,166,0.5,17,39,0.436,66,127,0.52,0.551,42,51,0.824,14,49,63,28,26,14,16,21,225
2016-17,25,SAS,NBA,SF,12,12,429,106,202,0.525,25,55,0.455,81,147,0.551,0.587,95,102,0.931,19,74,93,55,20,6,26,21,332
2018-19,27,TOR,NBA,SF,24,24,939,243,496,0.49,55,145,0.379,188,351,0.536,0.545,191,216,0.884,54,164,218,94,40,17,74,56,732
Career,NA,,NBA,,111,111,3847,766,1513,0.506,180,438,0.411,586,1075,0.545,0.566,452,541,0.835,199,655,854,263,187,72,196,245,2164
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,SAS,NBA,,87,87,2908,523,1017,0.514,125,293,0.427,398,724,0.55,0.576,261,325,0.803,145,491,636,169,147,55,122,189,1432
1 season,NA,TOR,NBA,,24,24,939,243,496,0.49,55,145,0.379,188,351,0.536,0.545,191,216,0.884,54,164,218,94,40,17,74,56,732
