Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Kawhi Leonard,,13.7,13.6,9.5,8.6,7.7,6.2,5.5,0.9
Jimmy Butler,91.4,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1
Kevin Love,91.4,14.3,11.4,10,8.7,8.5,5.3,4.9,1.1
Roger Brown,90.0,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8
Anthony Davis,89.5,14,13.7,11,10.4,9.5,7.2,6.1,NA
Elgin Baylor,88.6,14.8,14.4,11.5,9.8,7.9,7.2,4.9,2.6
Peja Stojaković,87.6,13.5,10.1,10.1,9.9,8,7.3,4.8,1.7
Cliff Hagan,86.9,11.8,11.7,10.8,10,8.5,6.5,6,1.3
Amar'e Stoudemire,86.9,14.6,14.6,11.2,10.7,6.2,6.1,4.4,0.1
Harry Gallatin,86.7,11.8,11.3,8.9,8.3,7.8,7.6,5.6,2.8
George Yardley,86.3,12.3,10,9,7.6,7.5,6.8,5.3,NA
