,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2011-12,20,SAS,NBA,43:00,9,14,3,5,9,12,8,9,7,9,11,5,5,2,3,4,24,24.8
2012-13,21,SAS,NBA,43:37,11,18,4,7,10,15,8,10,6,10,14,6,5,4,4,5,26,25.5
2013-14,22,SAS,NBA,37:53,12,18,3,6,10,13,7,8,6,10,16,6,5,4,4,5,26,24.7
2014-15,23,SAS,NBA,44:11,11,20,5,10,10,19,10,12,5,12,15,7,7,6,5,5,26,27.3
2015-16,24,SAS,NBA,40:26,13,24,7,10,12,19,12,15,6,12,14,7,5,5,4,5,33,31.5
2016-17,25,SAS,NBA,45:59,15,30,5,10,12,22,15,15,4,12,12,7,6,3,7,5,41,37.5
2017-18,26,SAS,NBA,30:32,9,20,3,8,8,13,9,11,2,8,8,4,4,3,4,3,25,21.1
2018-19,27,TOR,NBA,44:59,16,29,5,9,16,23,16,17,6,13,15,8,6,2,8,5,45,35.7
2019-20,28,LAC,NBA,45:34,15,32,6,10,14,28,19,19,5,12,14,10,5,3,9,5,43,38.2
Career,,,,45:59,16,32,7,10,16,28,19,19,7,13,16,10,7,6,9,5,45,38.2
7 Seasons,,SAS,NBA,45:59,15,30,7,10,12,22,15,15,7,12,16,7,7,6,7,5,41,37.5
1 Season,,TOR,NBA,44:59,16,29,5,9,16,23,16,17,6,13,15,8,6,2,8,5,45,35.7
1 Season,,LAC,NBA,45:34,15,32,6,10,14,28,19,19,5,12,14,10,5,3,9,5,43,38.2
