Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,21,NJN,NBA,PF,1,0,22:00,2,7,0.286,0,0,NA,0,2,0,1,10,1,0,2,3,3,4
1982-83,22,NJN,NBA,PF,1,0,19:00,3,4,0.75,0,0,NA,2,4,0.5,3,7,1,1,0,0,0,8
1985-86,25,NJN,NBA,PF,1,0,20:00,5,8,0.625,0,0,NA,3,5,0.6,3,7,4,0,0,1,0,13
Career,NA,,NBA,,3,0,61,10,19,0.526,0,0,NA,5,11,0.455,7,24,6,1,2,4,3,25
