Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Pete Chilcutt,,2.1,2,1.5,1.4,1.1,1,0.7,0.6,0.3,NA,NA
Scott Hastings,84.3,2.1,1.5,1.3,1.3,1,0.8,0.5,0.4,0.3,0.3,0.1
Ryan Bowen,81.4,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA
Wesley Johnson,79.5,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0,NA,NA
Steve Kuberski,78.9,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA,NA
Jeff Grayer,78.1,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1,NA,NA
Damien Wilkins,76.5,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA
Quincy Acy,75.5,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA,NA,NA
Marc Iavaroni,74.6,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA,NA,NA
Jason Smith,74.6,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,0.2,0
Jarvis Hayes,74.5,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA,NA,NA
