Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Pete Chilcutt,,2.1,2,1.5,1.4,1.1,1,0.7,0.6,0.3
Ryan Bowen,81.8,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2
Wesley Johnson,79.5,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0
Steve Kuberski,78.9,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0
Jeff Grayer,78.1,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1
Damien Wilkins,76.9,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0
Scott Hastings,76.7,2.1,1.5,1.3,1,0.8,0.5,0.4,0.3,0.1
Quincy Acy,75.5,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA
Jason Smith,75.4,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7
Marc Iavaroni,74.6,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA
Jarvis Hayes,74.5,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA
