Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Michael Carter-Williams,,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA,NA,NA,NA
Brook Steppe,85.5,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA,NA,NA
Pat Riley,73.5,1.3,1.1,1,1,0.6,0.3,0,-0.3,-0.6,NA,NA,NA
Ronnie Price,73.4,1.4,1.1,0.9,0.7,0.4,0.1,0.1,0.1,0,-0.1,-0.2,-0.7
Troy Daniels,73.2,1.4,1.3,1.1,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA
Rex Walters,71.4,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA,NA,NA,NA
Howard Komives,70.4,1.5,1.4,1,0.9,0.7,0.3,0.2,0.1,-0.1,-0.8,NA,NA
Isaiah Canaan,69.8,1.4,1.4,0.6,0.5,0.2,0.1,NA,NA,NA,NA,NA,NA
Raul Neto,68.7,1.8,1.1,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA
Nik Stauskas,67.8,1.4,1.1,0.5,0.5,0.3,NA,NA,NA,NA,NA,NA,NA
John Warren,66.9,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA,NA,NA
