Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Michael Carter-Williams,,1.3,1.2,0.9,0.8,0.8,0.2
Howard Komives,86.5,1.5,1.4,1,0.9,0.7,0.3
Brook Steppe,85.5,1.3,1.1,1,0.7,0.6,NA
Eddie House,77.0,1.8,1.6,0.9,0.7,0.7,0.4
Rex Walters,74.7,1.6,1.6,1.2,0.9,0.5,0.4
Troy Daniels,73.2,1.4,1.3,1.1,0.3,0.2,0.2
Isaiah Canaan,69.8,1.4,1.4,0.6,0.5,0.2,0.1
John Wetzel,69.1,2,1.5,1.1,0.7,0.5,0.5
Raul Neto,68.7,1.8,1.1,0.9,0.7,NA,NA
Nik Stauskas,67.8,1.4,1.1,0.5,0.5,0.3,NA
Tony Smith,67.6,1.7,1.5,1.3,1.3,0.5,0.1
