,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1971-72,22,ATL,NBA,,6,,4,4,,,,12
1972-73,23,TOT,NBA,,11,,7,8,,,,22
1972-73,23,ATL,NBA,,6,,7,8,,,,17
1972-73,23,PHI,NBA,,11,,7,7,,,,22
Career,,,,,11,,7,8,,,,22
2 Seasons,,ATL,NBA,,6,,7,8,,,,17
1 Season,,PHI,NBA,,11,,7,7,,,,22
