Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Kevin Restani,,3.5,2.6,2.2,2.1,2,1.8,0.5,0
Sidney Green,93.9,3.4,2.7,2.5,2,1.9,1.7,0.6,0.3
Corky Calhoun,89.4,3.1,2.5,2.3,2.2,2.1,1.3,1,0
Chucky Brown,85.6,4.2,2.2,2.2,2.1,1.6,1.6,0.3,0
Mark Bryant,85.6,3.6,3.2,2.3,2.1,2.1,1.6,1.1,1
Omri Casspi,85.5,3.6,2.7,2.5,2.5,2.4,1.2,0.7,0.5
Wally Walker,85.0,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1
Michael Curry,84.9,3.2,2.9,2.3,2,1.7,1.7,1.6,-0.2
Lavoy Allen,84.6,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA
Derrick Williams,84.4,3.6,3,2.6,2.1,1.8,1.1,0,NA
Reggie Evans,84.3,3.8,3,2.7,2.3,2.1,1.9,1.7,0.2
