Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike Sojourner,,4.7,2.7,0.9,NA,NA,NA,NA,NA
Ed Johnson,90.4,5.1,2.4,1,NA,NA,NA,NA,NA
Greg Oden,88.7,4.6,2.2,0.5,NA,NA,NA,NA,NA
Jamie Feick,88.4,4.8,2.2,0.9,0.2,0.2,NA,NA,NA
Tom Hoover,87.6,4.4,2.6,0.4,0.1,0,NA,NA,NA
Craig Raymond,85.7,4.7,1.7,1,0,0,NA,NA,NA
Lee Knorek,83.7,5.1,2.5,1.7,0,NA,NA,NA,NA
Rich Niemann,75.4,4.4,1.4,1.2,0.2,NA,NA,NA,NA
Willy Hernangómez,72.2,3.4,2.6,1.8,NA,NA,NA,NA,NA
Reggie Harding,70.2,3.1,2.6,1.6,0,NA,NA,NA,NA
Primož Brezec,69.4,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0
