Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,DLC,ABA,C,20,NA,369,4.8,8.7,0.551,0,0,NA,4.8,8.7,0.551,3.2,6,0.532,NA,NA,11.1,0.2,2,6.3,12.8
1968-69,26,TOT,ABA,C,36,NA,495,5.5,12.4,0.439,0,0.1,0,5.5,12.4,0.441,4.1,6.5,0.633,4.4,6,10.5,0.6,2.3,6.2,15.1
1968-69,26,DLC,ABA,C,24,NA,377,6.3,13.9,0.452,0,0.1,0,6.3,13.8,0.455,4,6.7,0.6,4.2,6.3,10.5,0.6,2.3,6,16.6
1968-69,26,NOB,ABA,C,3,NA,11,6.5,16.4,0.4,0,0,NA,6.5,16.4,0.4,0,0,NA,13.1,0,13.1,0,3.3,6.5,13.1
1968-69,26,KEN,ABA,C,9,NA,107,2.4,6.7,0.35,0,0,NA,2.4,6.7,0.35,5,6.7,0.75,4.4,5.7,10.1,0.7,2.4,6.7,9.8
Career,NA,,ABA,,56,NA,864,5.2,10.8,0.477,0,0,0,5.2,10.8,0.479,3.7,6.3,0.592,4.4,6,10.7,0.4,2.2,6.2,14.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,44,NA,746,5.5,11.3,0.489,0,0,0,5.5,11.3,0.491,3.6,6.4,0.568,4.2,6.3,10.8,0.4,2.2,6.2,14.7
1 season,NA,KEN,ABA,,9,NA,107,2.4,6.7,0.35,0,0,NA,2.4,6.7,0.35,5,6.7,0.75,4.4,5.7,10.1,0.7,2.4,6.7,9.8
1 season,NA,NOB,ABA,,3,NA,11,6.5,16.4,0.4,0,0,NA,6.5,16.4,0.4,0,0,NA,13.1,0,13.1,0,3.3,6.5,13.1
