,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,DLC,ABA,,7,,0,,,,6,10,,,,,,,14
1968-69,26,TOT,ABA,,9,,0,,,,8,13,,,,,,,20
1968-69,26,DLC,ABA,,9,,0,,,,8,13,,,,,,,20
1968-69,26,NOB,ABA,,1,,0,,,,0,0,,,,,,,2
1968-69,26,KEN,ABA,,2,,0,,,,4,6,,,,,,,7
Career,,,,,9,,0,,,,8,13,,,,,,,20
2 Seasons,,DLC,ABA,,9,,0,,,,8,13,,,,,,,20
1 Season,,KEN,ABA,,2,,0,,,,4,6,,,,,,,7
1 Season,,NOB,ABA,,1,,0,,,,0,0,,,,,,,2
