Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Tim Hardaway,,12.9,11.7,9.9,9.2,7.5,7.3,6.4,5.4,5.1,4.3,3.3,1.8,0.2
Kyle Lowry,93.7,11.7,11.6,10.2,10.1,7.1,7,6.6,5.6,4.9,4.3,3.6,3.4,0.5
Terry Porter,92.1,13,11.7,10.6,9.8,9.2,8.8,6.8,5.4,5.2,3.7,2.7,2.3,1.7
Stephon Marbury,89.5,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1,-0.3
Deron Williams,89.1,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,2.4,NA
Sam Jones,88.0,12.8,10,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,4.9,2.1,NA
Sam Cassell,87.6,12.1,9.6,9.2,8.6,8.5,8.3,7.6,4.7,3.9,3.9,3.8,2.2,0.8
Tiny Archibald,87.1,14.2,12.9,11.2,8.9,8,6.9,5.2,5.1,2.9,2.8,2.3,1.6,1.4
Mookie Blaylock,86.3,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.5,3.3,2.1,-0.1,-0.3
Kevin Johnson,86.3,12.7,12.2,11.7,11.6,10,8.7,8.2,5.1,4.8,4,3.5,0.5,NA
Isiah Thomas,86.3,11.2,9.1,8.8,7.6,7.6,7.4,7,6.7,5.8,3.7,3.4,2.3,0.2
