Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tyler Zeller,,6.5,2.9,2.6,2,1.7,1,0.3
Larry Krystkowiak,89.1,6.3,2.6,2.1,1.8,1.4,1,0.1
Jason Maxiell,84.9,6.3,4.1,2.6,1.8,1.7,0.5,-0.2
James Bailey,84.3,4.9,2.9,2.3,2,1.9,1,0.6
Jim Baechtold,83.4,6,3.2,2.6,2.1,0.9,NA,NA
George Lynch,83.2,5.8,3.9,2.6,2.5,1.7,1.5,0.9
Ronald Franz,83.1,5.9,3.7,3.3,2.2,2.1,0.9,NA
Alan Henderson,83.1,6,4.3,3.1,2,1.9,1.3,0.7
Al Harrington,82.8,5.9,3.9,2.6,1.6,1.2,1,-0.2
Matt Barnes,82.3,5.9,3.7,3,2.3,1,0.7,0.4
Tim Perry,80.9,5.7,2.6,2,1.4,1.4,1.2,-0.1
