Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,ANA,ABA,PG,78,2432,10.6,0.469,0.442,0.266,NA,NA,3.9,14.7,14.3,20.2,NA,1.8,0.6,2.4,0.047
1969-70,26,LAS,ABA,PG,4,17,7.6,0.286,0.286,0,NA,NA,5.2,45.9,6.7,32.6,NA,-0.1,0,-0.1,-0.305
Career,NA,,ABA,,82,2449,10.6,0.467,0.44,0.263,NA,NA,3.9,14.9,14.2,20.3,NA,1.6,0.6,2.3,0.045
