Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ryan Hollins,,1.8,1.7,1.3,1.2,1.1,1,1,1,0.2,0.2,NA,NA
Paul Mokeski,71.1,3.4,1.7,1.6,1.4,1.3,1.1,1,0.9,0.8,0.3,0.2,-0.1
John Lambert,65.3,1.8,1.5,1,0.9,0.7,0.6,0.4,NA,NA,NA,NA,NA
Michael Doleac,61.2,3,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0,NA,NA
Calvin Booth,60.9,2.2,2.1,1,0.8,0.6,0.5,0.4,0.3,0.1,0.1,NA,NA
Sean Rooks,57.1,3,2.3,2.2,1.8,1.8,1.5,1.1,1.1,0.6,0.4,0.3,0.2
Eric Leckner,57.0,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,NA,NA,NA,NA
Hub Reed,56.7,2.8,2,1.7,1.3,1,0.6,0,NA,NA,NA,NA,NA
Aaron Gray,55.5,1.4,1.3,1.1,0.9,0.8,0.5,0.1,NA,NA,NA,NA,NA
Jake Tsakalidis,55.3,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA,NA,NA,NA
Hank Finkel,52.3,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA,NA,NA
