Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bud Stallworth,,1.1,0.4,0.4,-0.3,-0.9
Tremaine Fowlkes,17.2,1.2,0.5,0.4,0,NA
Jerome Lane,13.3,1.2,0.6,0.5,0.1,-0.2
Maceo Baston,12.9,1.1,0.5,0.4,0.3,NA
James Michael McAdoo,8.9,1.1,0.8,0.5,0,NA
Ronald Dupree,8.6,1,0.5,0.3,0.1,0
Cal Bowdler,7.8,1,0.5,0.2,NA,NA
Patrick McFarland,6.9,1.3,0.7,0.4,NA,NA
Bo Ellis,6.5,1.1,0.9,0.5,NA,NA
Greg Foster,5.2,1,0.6,0.5,0.2,0
Anthony Miller,4.4,1.2,0.8,0.6,0,-0.1
