Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Fred Jones,,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA,NA,NA
Al Wood,88.8,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA,NA,NA,NA
Tim Hardaway,88.7,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA,NA,NA
Todd Day,86.2,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA,NA,NA
Doug West,85.5,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
T.J. Ford,84.9,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA,NA,NA
Daniel Gibson,84.8,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA,NA,NA,NA
Fred Carter,84.6,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,NA,NA,NA,NA
Winston Garland,84.5,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA,NA,NA,NA
Whitey Skoog,83.7,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA,NA
Jack George,83.6,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,NA,NA,NA,NA
