,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2003-04,24,IND,NBA,SG,14,263,,99%,,,,+12.5,+10.8,4,1,11,3,4,0,37,1,4
2004-05,25,IND,NBA,SG,13,234,11%,86%,3%,,,+2.4,+8.8,6,4,4,4,5,0,30,1,5
2005-06,26,IND,NBA,SG,6,167,,86%,14%,,,-9.6,-11.4,4,3,4,1,4,1,35,1,1
Career,,,NBA,,33,664,4%,91%,5%,,,+3.4,+4.5,14,8,19,8,13,1,102,3,10
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,33,664,4%,91%,5%,,,+3.4,+4.5,14,8,19,8,13,1,102,3,10
