Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Fred Jones,,4.8,4,2.6,2.2,1.6,1.2,0
Sedale Threatt,90.4,4.6,3.4,2.7,2.5,2.1,1.3,0.1
Keith Bogans,89.0,4.9,2.6,2.5,2.3,1.7,1.3,0.1
Greg Buckner,89.0,4.8,3.8,3.1,2.3,2,1.8,0.3
Doug West,88.9,4.6,4.3,2.6,1.8,1.2,0.8,-0.1
Al Wood,88.8,4.4,4.2,2.5,2.3,1,0.9,NA
Tim Hardaway,88.7,4.8,3.1,2.6,1.9,1.8,0.8,NA
Todd Day,87.6,4.8,3.2,2.6,2.5,2.1,1.9,0.1
Johnny Egan,86.6,5.1,3.6,3.2,3.1,1.4,1.3,0
Danny Young,86.3,4.8,3,2.9,2.4,1.8,1.8,-0.1
Jamaal Tinsley,86.2,4.4,3.7,2.8,2.8,1.7,0.8,0.7
