,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,25,MEM,NBA,PG,1,6,100%,,,,,-45.0,-48.5,0,0,0,0,0,0,0,0,0
2018-19,29,DET,NBA,PG,1,6,100%,,,,,-23.5,-23.2,0,0,1,0,1,0,2,0,0
Career,,,NBA,,2,12,100%,,,,,-34.2,-35.8,0,0,1,0,1,0,2,0,0
,,,,,,,,,,,,,,,,,,,,,,
1 season,,DET,NBA,,1,6,100%,,,,,-23.5,-23.2,0,0,1,0,1,0,2,0,0
1 season,,MEM,NBA,,1,6,100%,,,,,-45.0,-48.5,0,0,0,0,0,0,0,0,0
