,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,TOT,ABA,,6,,0,,,,5,6,,,,,,,,,17
1968-69,23,DLC,ABA,,6,,0,,,,5,6,,,,,,,,,17
1969-70,24,DLC,ABA,,14,,0,,,,7,9,,,,,,,,,32
1970-71,25,TOT,ABA,,12,,0,,,,3,6,,,,,,,,,25
1970-71,25,NYA,ABA,,12,,0,,,,3,6,,,,,,,,,25
1973-74,28,CAP,NBA,,1,2,,,,,0,0,,,2,0,,,,1,2
Career,,,TOT,,14,,,,,,7,9,,,,,,,,,32
,,,NBA,,1,2,,,,,0,0,,,2,0,,,,1,2
,,,ABA,,14,,0,,,,7,9,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,DLC,ABA,,14,,0,,,,7,9,,,,,,,,,32
1 Season,,NYA,ABA,,12,,0,,,,3,6,,,,,,,,,25
1 Season,,CAP,NBA,,1,2,,,,,0,0,,,2,0,,,,1,2
